Id,Name,Type,Address
b01aa1ea-daa2-4043-8a3c-748345391fb8,할리스 성수 5호점,할리스,광주 영등포구 71 로 92
c0c82f2f-52d8-4a98-bde6-81c7731963a3,스타벅스 한남 3호점,스타벅스,고양 양천구 75 길 93
2c4de181-eecf-478c-b7d5-8d020567e8a6,메가커피 망원 9호점,메가커피,강릉 송파구 92 길 52
8fa438b4-5fb6-4c26-848f-11f05522d948,할리스 한남 2호점,할리스,성남 서초구 49 길 64
97a53236-5897-4f5f-8174-b3e7b05b2db4,투썸 성수 4호점,투썸,부산 은평구 32 로 5
75112712-8332-4527-aa94-388b7850bff9,투썸 강남 7호점,투썸,제주 강남구 17 길 42
29aeec30-346b-455e-94fa-ae3d1ec809b2,빽다방 익선 6호점,빽다방,동해 양천구 35 로 56
48edd448-6586-4a3b-951e-ab5da3105670,공차 익선 3호점,공차,인천 중랑구 60 로 91
c4eb758c-fc9b-40e7-9751-a197b30b0700,할리스 성수 1호점,할리스,동해 강남구 14 로 85
dcbcd0da-8e6a-4f91-95ff-75f043e6857e,스타벅스 용산 5호점,스타벅스,동해 강남구 15 로 85
4f41d459-18f8-4b4f-84d9-febcdd9ad8e7,이디야 잠실 2호점,이디야,서울 은평구 70 로 55
d9e5f821-5c59-48bb-b7b0-f50ecd22098a,빽다방 잠실 7호점,빽다방,동해 마포구 18 로 81
21e0c276-36e3-4415-b06e-aa98b2b56b5f,할리스 용산 9호점,할리스,울산 영등포구 63 길 12
0c26a1cb-e22e-4128-984c-0f8c3aea9142,이디야 신촌 6호점,이디야,울산 용산구 32 길 33
24517a26-07a3-4cd7-a784-510a8871f212,이디야 노원 7호점,이디야,부산 종로구 21 로 66
c8e04ca3-7d0e-4fa8-83b0-7ab2a211af67,공차 성수 6호점,공차,하남 마포구 70 길 89
d5dc30f7-a292-4def-857e-35a8f75d7f56,스타벅스 잠실 3호점,스타벅스,하남 도봉구 5 로 32
4f85bc0b-1444-4394-888a-de3cfc94959d,카페베네 한남 1호점,카페베네,인천 중구 88 길 86
d55906e5-59da-41be-aef8-738cd026d01a,스타벅스 강남 7호점,스타벅스,양양 양천구 19 로 59
0809e9f5-85f4-4892-a968-1a4144a13c46,빽다방 성수 2호점,빽다방,하남 성동구 46 길 44
764af136-d947-42e8-aa00-039af197827e,컴포즈 강남 7호점,컴포즈,양양 마포구 65 로 44
c47f244f-432d-42f1-b987-3f7f40fa9437,이디야 한남 2호점,이디야,울산 중구 34 로 18
2d93ef73-e8fe-40a5-afa3-787bcbc3ed68,카페베네 신촌 4호점,카페베네,서울 성동구 68 길 30
b4e67f0e-3f75-4a05-9cb4-8de53c6ceeee,이디야 망원 1호점,이디야,양양 강북구 54 길 79
f64e481a-c2fb-4d0d-926c-05ca855f9ba6,스타벅스 잠실 5호점,스타벅스,부산 강남구 57 로 75
4d80f94a-6187-46d0-b520-0dca78843613,할리스 망원 6호점,할리스,광주 양천구 87 로 93
5909b40f-81a8-475b-9e33-d33bb699989e,스타벅스 성수 2호점,스타벅스,하남 영등포구 49 길 78
28068af4-6c20-4183-9868-ee2de9fbd305,공차 잠실 8호점,공차,인천 마포구 65 길 86
f10beeaf-04c4-4b22-aa49-1756b4b2e5d9,공차 신촌 10호점,공차,울산 중랑구 13 길 39
65fa3e65-c9b3-4770-8e17-7ac0afb275f6,컴포즈 익선 4호점,컴포즈,인천 중랑구 1 로 29
86ccedf7-0742-48f5-a7b9-376b2238f0bc,투썸 익선 1호점,투썸,부산 은평구 94 길 37
371fedcb-616b-4a5f-99c9-d8c730967e53,스타벅스 강남 6호점,스타벅스,하남 중랑구 57 로 14
7adfa50f-63b4-4f00-a4da-77551f65a9a4,카페베네 신촌 9호점,카페베네,양양 동대문구 47 로 1
a8f64841-dcae-421b-b4b5-05795fc2527c,컴포즈 성수 6호점,컴포즈,고양 강남구 86 로 69
0ed4a6e7-258f-4375-aef5-2fe1e6a66612,이디야 망원 4호점,이디야,광주 동작구 87 길 12
0b23098c-35e0-44e6-8bda-0a7d0fbe8686,공차 노원 7호점,공차,인천 성북구 12 로 9
c43995a4-a3ce-4700-980b-f7f293d3b882,메가커피 망원 9호점,메가커피,인천 강북구 45 로 52
45d263cb-9034-4242-8554-31795605f03c,공차 한남 10호점,공차,양양 양천구 29 길 41
17a77ffe-f330-47ef-85d3-af72d1a7fbe0,이디야 성수 3호점,이디야,일산 마포구 74 로 66
5cecadb9-7fca-4318-9f68-a1b96f828329,카페베네 용산 3호점,카페베네,일산 동대문구 89 길 22
f95135ee-2dd8-45a9-912e-631b62a4d893,빽다방 망원 4호점,빽다방,대구 강남구 27 로 50
104c2e0f-c016-4825-9c02-2ecf1626cbe9,할리스 한남 1호점,할리스,하남 송파구 92 로 70
bc611efc-9326-4cc0-8d29-b6f3f77fc8fb,공차 익선 1호점,공차,광주 강남구 84 로 41
20e5cb3d-eac0-483c-953d-d6086074132e,커피빈 한남 2호점,커피빈,서울 강서구 54 로 3
f12db86b-a289-4d4a-998f-291208e51866,카페베네 용산 6호점,카페베네,고양 강남구 23 로 57
83fb992d-3fbf-43ec-a81c-3b0e03e931d5,빽다방 한남 6호점,빽다방,대전 동대문구 15 로 88
9515387e-297e-4513-87d0-75583a74bc78,스타벅스 성수 3호점,스타벅스,강릉 도봉구 76 로 96
